sgg,grdp,avgtmean,rangetmean
11010,28891.0822,11.4626106464788,48.411766388
11020,50394.3152,11.4641535582549,48.399521864
11030,10492.5599,11.5144419442065,47.962324285
11040,9814.3332,11.5210408557443,48.40258804
11050,5806.4924,11.5789966865169,48.734285122
11060,6702.6217,11.5641579131207,48.919338502
11070,3995.3368,11.6098400808857,49.314078017
11080,5451.4952,11.4814684609339,48.496387123
11090,3039.8738,11.3304883019553,48.322283601
11100,2969.8884,11.1520281518425,48.257883572
11110,5660.0426,11.3620429282718,49.10084509
11120,3982.6953,11.4675354522533,47.60589619
11130,7384.0088,11.4812792360295,47.680921929
11140,16822.993,11.5003107945424,47.40682715
11150,6303.647,11.6251702928763,46.561381475
11160,11523.4188,11.6383823308987,46.942863292
11170,12186.1045,11.6353078324774,46.52867755
11180,15071.1417,11.5759213239254,46.561706418
11190,29857.7848,11.5494608554335,47.129789522
11200,5937.0462,11.5320743931439,47.577976671
11210,5448.4523,11.5426983244134,47.135574724
11220,30117.2573,11.5091664933848,47.836130332
11230,58879.1517,11.5429420958611,48.307919653
11240,22991.9783,11.5531684028331,48.518259291
11250,7685.0098,11.5231783765496,48.955691857
